Graph File,Minimum Cut,Success Rate,Avg Iteration Time (ms),Theoretical Success Probability,Iterations,Theoretical Running Time (ms)
barabasi_albert_020.txt,2,1,1.55111,0.231378,1290,5.76257
barabasi_albert_040.txt,2,1,4.69794,0.187902,852,28.3836
barabasi_albert_060.txt,2,1,17.5958,0.169294,341,70.8827
barabasi_albert_080.txt,2,1,11.6629,0.15818,686,134.868
barabasi_albert_100.txt,2,1,18.4885,0.150515,542,221.462
barabasi_albert_120.txt,2,1,35.6799,0.144783,337,331.531
barabasi_albert_140.txt,2,1,30.8937,0.140267,454,465.78
barabasi_albert_160.txt,2,1,58.5609,0.136576,274,624.805
barabasi_albert_180.txt,2,1,70.6281,0.133478,255,809.12
barabasi_albert_200.txt,2,1,59.5104,0.130824,337,1019.18
erdos_renyi_020.txt,3,0.967227,1.68094,0.231378,1190,5.76257
erdos_renyi_040.txt,7,0.993492,8.68286,0.187902,461,28.3836
erdos_renyi_060.txt,9,0.920245,36.8599,0.169294,163,70.8827
erdos_renyi_080.txt,15,0.845018,29.5828,0.15818,271,134.868
erdos_renyi_100.txt,16,0.990476,47.796,0.150515,210,221.462
erdos_renyi_120.txt,25,0.991597,101.018,0.144783,119,331.531
erdos_renyi_140.txt,24,0.905109,102.743,0.140267,137,465.78
erdos_renyi_160.txt,32,1,232.099,0.136576,70,624.805
erdos_renyi_180.txt,38,0.792208,235.181,0.133478,77,809.12
erdos_renyi_200.txt,43,0.958333,282.106,0.130824,72,1019.18
Power-Law Cluster_020.txt,2,0.989427,1.76289,0.231378,1135,5.76257
Power-Law Cluster_040.txt,3,0.978686,7.11583,0.187902,563,28.3836
Power-Law Cluster_060.txt,4,0.982456,26.4022,0.169294,228,70.8827
Power-Law Cluster_080.txt,4,0.979545,18.2073,0.15818,440,134.868
Power-Law Cluster_100.txt,5,0.994565,27.2115,0.150515,368,221.462
Power-Law Cluster_120.txt,5,1,50.5473,0.144783,238,331.531
Power-Law Cluster_140.txt,5,1,52.4642,0.140267,267,465.78
Power-Law Cluster_160.txt,5,1,87.0315,0.136576,184,624.805
Power-Law Cluster_180.txt,5,0.984694,92.0813,0.133478,196,809.12
Power-Law Cluster_200.txt,6,0.942731,88.1747,0.130824,227,1019.18
watts_strogatz_020.txt,6,0.887097,1.61398,0.231378,1240,5.76257
watts_strogatz_040.txt,6,0.838816,6.58011,0.187902,608,28.3836
watts_strogatz_060.txt,6,0.987903,24.2592,0.169294,248,70.8827
watts_strogatz_080.txt,6,0.997768,17.8822,0.15818,448,134.868
watts_strogatz_100.txt,6,1,28.1533,0.150515,356,221.462
watts_strogatz_120.txt,5,0.839572,64.3752,0.144783,187,331.531
watts_strogatz_140.txt,5,0.820946,47.4583,0.140267,296,465.78
watts_strogatz_160.txt,6,1,89.0502,0.136576,180,624.805
watts_strogatz_180.txt,6,1,91.4237,0.133478,197,809.12
watts_strogatz_200.txt,6,1,90.0349,0.130824,223,1019.18
