Graph File,Minimum Cut,Success Rate,Avg Iteration Time (ms),Theoretical Success Probability,Iterations,Theoretical Running Time (ms)
barbell_020.txt,1,1,1.03417,0.231378,1934,5.76257
barbell_040.txt,1,1,3.45226,0.187902,1159,28.3836
barbell_060.txt,1,1,13.3491,0.169294,450,70.8827
barbell_080.txt,1,1,9.59963,0.15818,834,134.868
barbell_100.txt,1,1,15.5923,0.150515,642,221.462
barbell_120.txt,1,1,30.7044,0.144783,391,331.531
barbell_140.txt,1,1,29.5897,0.140267,474,465.78
barbell_160.txt,1,1,53.5496,0.136576,299,624.805
barbell_180.txt,1,1,54.2719,0.133478,332,809.12
barbell_200.txt,1,1,64.3767,0.130824,311,1019.18
bipartite_020.txt,8,1,2.10213,0.231378,952,5.76257
bipartite_040.txt,16,1,10.7742,0.187902,372,28.3836
bipartite_060.txt,24,1,43.394,0.169294,139,70.8827
bipartite_080.txt,32,1,42.2119,0.15818,190,134.868
bipartite_100.txt,40,1,72.3709,0.150515,139,221.462
bipartite_120.txt,48,1,142.955,0.144783,84,331.531
bipartite_140.txt,56,1,125.372,0.140267,112,465.78
bipartite_160.txt,64,1,260.441,0.136576,62,624.805
bipartite_180.txt,72,1,284.802,0.133478,64,809.12
bipartite_200.txt,80,1,317.867,0.130824,63,1019.18
complete_020.txt,19,1,2.33909,0.231378,856,5.76257
complete_040.txt,39,1,15.9801,0.187902,251,28.3836
complete_060.txt,59,1,75.9912,0.169294,79,70.8827
complete_080.txt,79,1,66.5716,0.15818,121,134.868
complete_100.txt,99,1,127.274,0.150515,79,221.462
complete_120.txt,119,1,242.626,0.144783,50,331.531
complete_140.txt,139,1,252.804,0.140267,56,465.78
complete_160.txt,159,1,522.671,0.136576,31,624.805
complete_180.txt,179,1,601.511,0.133478,30,809.12
complete_200.txt,199,1,673.072,0.130824,30,1019.18
grid_020.txt,2,1,1.08678,0.231378,1841,5.76257
grid_040.txt,2,1,5.5059,0.187902,727,28.3836
grid_060.txt,2,1,20.5597,0.169294,292,70.8827
grid_080.txt,2,1,13.9152,0.15818,576,134.868
grid_100.txt,2,1,22.0295,0.150515,454,221.462
grid_120.txt,2,1,40.1425,0.144783,299,331.531
grid_140.txt,2,1,36.1916,0.140267,387,465.78
grid_160.txt,2,1,66.7747,0.136576,240,624.805
grid_180.txt,2,1,71.32,0.133478,253,809.12
grid_200.txt,2,1,77.6853,0.130824,258,1019.18
